Area Type ,Area Name ,Date,Year ,Month,Seasonally Adjusted (Y/N) ,Status (Preliminary / Final) ,LaborForce,Employment ,Unemployment ,UnemploymentRate 
Sub-County Place,San Dimas city,01-01-2012,2012,January,N,Final,16900,15300,1600,0.094
Sub-County Place,San Fernando city,01-01-2012,2012,January,N,Final,11400,9800,1600,0.138
Sub-County Place,San Francisco city,01-01-2012,2012,January,N,Final,498100,459800,38300,0.077
Sub-County Place,San Gabriel city,01-01-2012,2012,January,N,Final,20000,18500,1500,0.074
Sub-County Place,Sanger city,01-01-2012,2012,January,N,Final,11600,9400,2200,0.192
Sub-County Place,San Jacinto city,01-01-2012,2012,January,N,Final,18100,14800,3300,0.182
Sub-County Place,San Joaquin city,01-01-2012,2012,January,N,Final,1200,1100,100,0.107
Sub-County Place,San Jose city,01-01-2012,2012,January,N,Final,505800,456400,49300,0.098
Sub-County Place,San Juan Bautista city,01-01-2012,2012,January,N,Final,1000,800,200,0.183
Sub-County Place,San Juan Capistrano city,01-01-2012,2012,January,N,Final,16900,15300,1600,0.095
Sub-County Place,San Leandro city,01-01-2012,2012,January,N,Final,45400,40800,4600,0.102
Sub-County Place,San Lorenzo CDP,01-01-2012,2012,January,N,Final,12600,11000,1500,0.122
Sub-County Place,San Lucas CDP,01-01-2012,2012,January,N,Final,100,100,0,0.391
Sub-County Place,San Luis Obispo city,01-01-2012,2012,January,N,Final,24300,22000,2400,0.097
Sub-County Place,San Marcos city,01-01-2012,2012,January,N,Final,37700,34700,3000,0.079
Sub-County Place,San Marino city,01-01-2012,2012,January,N,Final,5500,5200,300,0.047
Sub-County Place,San Martin CDP,01-01-2012,2012,January,N,Final,3800,3300,500,0.127
Sub-County Place,San Mateo city,01-01-2012,2012,January,N,Final,56600,52700,3900,0.069
Sub-County Place,San Miguel CDP,01-01-2012,2012,January,N,Final,1600,1400,200,0.14
Sub-County Place,San Pablo city,01-01-2012,2012,January,N,Final,13900,11900,2100,0.148
Sub-County Place,San Rafael city,01-01-2012,2012,January,N,Final,31500,29300,2300,0.072
Sub-County Place,San Ramon city,01-01-2012,2012,January,N,Final,37700,35100,2500,0.067
Sub-County Place,Santa Ana city,01-01-2012,2012,January,N,Final,156700,141300,15400,0.098
Sub-County Place,Santa Barbara city,01-01-2012,2012,January,N,Final,48800,44900,3900,0.08
Sub-County Place,Santa Clara city,01-01-2012,2012,January,N,Final,62100,57200,4900,0.079
Sub-County Place,Santa Clarita city,01-01-2012,2012,January,N,Final,92800,82700,10100,0.109
Sub-County Place,Santa Cruz city,01-01-2012,2012,January,N,Final,31900,27600,4300,0.136
Sub-County Place,Santa Fe Springs city,01-01-2012,2012,January,N,Final,7400,6400,1000,0.139
Sub-County Place,Santa Maria city,01-01-2012,2012,January,N,Final,46400,40900,5500,0.119
Sub-County Place,Santa Monica city,01-01-2012,2012,January,N,Final,54100,48600,5500,0.101
Sub-County Place,Santa Paula city,01-01-2012,2012,January,N,Final,14300,12400,1900,0.13
Sub-County Place,Santa Rosa city,01-01-2012,2012,January,N,Final,83100,73800,9300,0.112
Sub-County Place,Santa Ynez CDP,01-01-2012,2012,January,N,Final,2400,2300,100,0.048
Sub-County Place,Santee city,01-01-2012,2012,January,N,Final,28200,25400,2800,0.098
Sub-County Place,Saratoga city,01-01-2012,2012,January,N,Final,13700,12800,900,0.063
Sub-County Place,Sausalito city,01-01-2012,2012,January,N,Final,4900,4500,400,0.08
Sub-County Place,Scotts Valley city,01-01-2012,2012,January,N,Final,6200,5300,900,0.138
Sub-County Place,Seal Beach city,01-01-2012,2012,January,N,Final,9900,9100,700,0.076
Sub-County Place,Searles Valley CDP,01-01-2012,2012,January,N,Final,600,500,100,0.121
Sub-County Place,Seaside city,01-01-2012,2012,January,N,Final,17400,14400,2900,0.17
Sub-County Place,Sebastopol city,01-01-2012,2012,January,N,Final,4200,3800,400,0.087
Sub-County Place,Selma city,01-01-2012,2012,January,N,Final,11200,9300,2000,0.174
Sub-County Place,Shafter city,01-01-2012,2012,January,N,Final,7000,6100,900,0.131
Sub-County Place,Shandon CDP,01-01-2012,2012,January,N,Final,500,500,100,0.146
Sub-County Place,Shasta Lake city,01-01-2012,2012,January,N,Final,4100,3500,600,0.151
Sub-County Place,Shaver Lake CDP,01-01-2012,2012,January,N,Final,300,300,0,0.128
Sub-County Place,Shingle Springs CDP,01-01-2012,2012,January,N,Final,2500,2300,200,0.087
Sub-County Place,Shingletown CDP,01-01-2012,2012,January,N,Final,800,700,100,0.105
Sub-County Place,Shoshone CDP,01-01-2012,2012,January,N,Final,50,30,20,0.471
Sub-County Place,Sierra Madre city,01-01-2012,2012,January,N,Final,5700,5300,500,0.08
Sub-County Place,Signal Hill city,01-01-2012,2012,January,N,Final,6000,5200,800,0.129
Sub-County Place,Simi Valley city,01-01-2012,2012,January,N,Final,69500,63200,6200,0.09
Sub-County Place,Solana Beach city,01-01-2012,2012,January,N,Final,6700,6100,600,0.093
Sub-County Place,Soledad city,01-01-2012,2012,January,N,Final,8200,6300,1800,0.222
Sub-County Place,Solvang city,01-01-2012,2012,January,N,Final,2700,2300,300,0.121
Sub-County Place,Sonoma city,01-01-2012,2012,January,N,Final,5000,4500,500,0.092
Sub-County Place,Sonora city,01-01-2012,2012,January,N,Final,2300,1980,320,0.139
Sub-County Place,Soquel CDP,01-01-2012,2012,January,N,Final,5300,4600,700,0.128
Sub-County Place,Soulsbyville CDP,01-01-2012,2012,January,N,Final,920,700,220,0.234
Sub-County Place,South Dos Palos CDP,01-01-2012,2012,January,N,Final,800,700,100,0.13
Sub-County Place,South El Monte city,01-01-2012,2012,January,N,Final,8500,8000,600,0.065
Sub-County Place,South Gate city,01-01-2012,2012,January,N,Final,43500,36900,6600,0.152
Sub-County Place,South Lake Tahoe city,01-01-2012,2012,January,N,Final,11600,10200,1500,0.128
Sub-County Place,South Oroville CDP,01-01-2012,2012,January,N,Final,2100,1700,400,0.178
Sub-County Place,South Pasadena city,01-01-2012,2012,January,N,Final,14200,13000,1200,0.085
Sub-County Place,South San Francisco city,01-01-2012,2012,January,N,Final,35300,32700,2700,0.076
Sub-County Place,South San Gabriel CDP,01-01-2012,2012,January,N,Final,3700,3200,500,0.136
Sub-County Place,South San Jose Hills CDP,01-01-2012,2012,January,N,Final,8300,7700,700,0.08
Sub-County Place,South Taft CDP,01-01-2012,2012,January,N,Final,800,700,100,0.104
Sub-County Place,South Whittier CDP,01-01-2012,2012,January,N,Final,27900,25000,2800,0.102
Sub-County Place,Spreckels CDP,01-01-2012,2012,January,N,Final,400,400,0,0.043
Sub-County Place,Spring Garden CDP,01-01-2012,2012,January,N,Final,0,0,0,0
Sub-County Place,Spring Valley CDP,01-01-2012,2012,January,N,Final,15000,13300,1800,0.118
Sub-County Place,Springville CDP,01-01-2012,2012,January,N,Final,300,200,100,0.268
Sub-County Place,Squaw Valley CDP,01-01-2012,2012,January,N,Final,800,600,200,0.24
Sub-County Place,Squirrel Mountain Valley CDP,01-01-2012,2012,January,N,Final,200,200,0,0
Sub-County Place,Stallion Springs CDP,01-01-2012,2012,January,N,Final,1500,1400,200,0.108
Sub-County Place,Stanton city,01-01-2012,2012,January,N,Final,18800,16700,2100,0.112
Sub-County Place,Stockton city,01-01-2012,2012,January,N,Final,127100,104600,22500,0.177
Sub-County Place,Stratford CDP,01-01-2012,2012,January,N,Final,500,400,100,0.143
Sub-County Place,Strathmore CDP,01-01-2012,2012,January,N,Final,1700,1200,500,0.312
Sub-County Place,Suisun City city,01-01-2012,2012,January,N,Final,13900,12400,1500,0.105
Sub-County Place,Summerland CDP,01-01-2012,2012,January,N,Final,800,700,100,0.124
Sub-County Place,Sunnyside Tahoe City CDP,01-01-2012,2012,January,N,Final,1100,1000,100,0.123
Sub-County Place,Sunnyvale city,01-01-2012,2012,January,N,Final,79100,72800,6300,0.079
Sub-County Place,Sunol CDP,01-01-2012,2012,January,N,Final,500,500,0,0.021
Sub-County Place,Susanville city,01-01-2012,2012,January,N,Final,5040,4140,900,0.179
Sub-County Place,Sutter CDP,01-01-2012,2012,January,N,Final,1500,1200,300,0.196
Sub-County Place,Sutter Creek city,01-01-2012,2012,January,N,Final,1070,980,90,0.084
Sub-County Place,Taft city,01-01-2012,2012,January,N,Final,3000,2700,300,0.1
Sub-County Place,Taft Heights CDP,01-01-2012,2012,January,N,Final,1000,800,200,0.162
Sub-County Place,Taft Mosswood CDP,01-01-2012,2012,January,N,Final,500,400,200,0.318
Sub-County Place,Tahoe Vista CDP,01-01-2012,2012,January,N,Final,800,800,100,0.064
Sub-County Place,Tamalpais Homestead Valley CDP,01-01-2012,2012,January,N,Final,6200,5800,400,0.057
Sub-County Place,Tara Hills CDP,01-01-2012,2012,January,N,Final,2100,1800,400,0.171
Sub-County Place,Taylorsville CDP,01-01-2012,2012,January,N,Final,100,100,0,0
Sub-County Place,Tecopa CDP,01-01-2012,2012,January,N,Final,20,20,0,0
Sub-County Place,Tehachapi city,01-01-2012,2012,January,N,Final,4200,3700,500,0.118
Sub-County Place,Tehama city,01-01-2012,2012,January,N,Final,150,100,50,0.313
Sub-County Place,Temecula city,01-01-2012,2012,January,N,Final,47500,43200,4400,0.092
Sub-County Place,Temple City city,01-01-2012,2012,January,N,Final,17100,15800,1300,0.079
Sub-County Place,Templeton CDP,01-01-2012,2012,January,N,Final,3700,3400,300,0.074
Sub-County Place,Terra Bella CDP,01-01-2012,2012,January,N,Final,1500,1200,300,0.216
Sub-County Place,Thermalito CDP,01-01-2012,2012,January,N,Final,2500,2000,500,0.205
Sub-County Place,Thousand Oaks city,01-01-2012,2012,January,N,Final,67800,61100,6700,0.099
Sub-County Place,Thousand Palms CDP,01-01-2012,2012,January,N,Final,3300,2900,300,0.1
Sub-County Place,Three Rivers CDP,01-01-2012,2012,January,N,Final,1100,1000,100,0.07
Sub-County Place,Tipton CDP,01-01-2012,2012,January,N,Final,900,700,100,0.15
Sub-County Place,Tobin CDP,01-01-2012,2012,January,N,Final,0,0,0,0
Sub-County Place,Tomales CDP,01-01-2012,2012,January,N,Final,200,200,0,0.091
Sub-County Place,Toro Canyon CDP,01-01-2012,2012,January,N,Final,600,500,0,0.078
Sub-County Place,Torrance city,01-01-2012,2012,January,N,Final,74800,68500,6300,0.084
Sub-County Place,Tracy city,01-01-2012,2012,January,N,Final,40500,34800,5700,0.141
Sub-County Place,Tranquillity CDP,01-01-2012,2012,January,N,Final,200,200,0,0.057
Sub-County Place,Traver CDP,01-01-2012,2012,January,N,Final,600,500,100,0.223
Sub-County Place,Trinidad city,01-01-2012,2012,January,N,Final,200,200,0,0.063
Sub-County Place,Truckee town,01-01-2012,2012,January,N,Final,10160,9110,1060,0.104
Sub-County Place,Tulare city,01-01-2012,2012,January,N,Final,27300,23000,4300,0.158
Sub-County Place,Tuolumne City CDP,01-01-2012,2012,January,N,Final,1010,850,160,0.155
Sub-County Place,Tupman CDP,01-01-2012,2012,January,N,Final,100,100,0,0.174
Sub-County Place,Turlock city,01-01-2012,2012,January,N,Final,33400,28400,5100,0.151
Sub-County Place,Tustin city,01-01-2012,2012,January,N,Final,40800,37500,3300,0.08
Sub-County Place,Twain CDP,01-01-2012,2012,January,N,Final,10,10,0,0
Sub-County Place,Twain Harte CDP,01-01-2012,2012,January,N,Final,1000,820,170,0.175
Sub-County Place,Twentynine Palms city,01-01-2012,2012,January,N,Final,6700,5700,1100,0.156
Sub-County Place,Twin Lakes CDP,01-01-2012,2012,January,N,Final,3200,2600,600,0.2
Sub-County Place,Ukiah city,01-01-2012,2012,January,N,Final,7090,5890,1200,0.169
Sub-County Place,Union City city,01-01-2012,2012,January,N,Final,35200,32200,3000,0.086
Sub-County Place,Upland city,01-01-2012,2012,January,N,Final,36200,32900,3300,0.092
Sub-County Place,Upper Lake CDP,01-01-2012,2012,January,N,Final,240,220,20,0.083
Sub-County Place,Vacaville city,01-01-2012,2012,January,N,Final,43100,39000,4200,0.097
Sub-County Place,Valinda CDP,01-01-2012,2012,January,N,Final,10000,8900,1100,0.11
Sub-County Place,Vallejo city,01-01-2012,2012,January,N,Final,58300,49000,9300,0.16
Sub-County Place,Valle Vista CDP,01-01-2012,2012,January,N,Final,6000,5300,700,0.121
Sub-County Place,Valley Acres CDP,01-01-2012,2012,January,N,Final,300,200,0,0.055
Sub-County Place,Valley Center CDP,01-01-2012,2012,January,N,Final,4700,4400,300,0.07
Sub-County Place,Valley Ranch CDP,01-01-2012,2012,January,N,Final,50,50,0,0
Sub-County Place,Valley Springs CDP,01-01-2012,2012,January,N,Final,1700,1400,300,0.174
Sub-County Place,Val Verde CDP,01-01-2012,2012,January,N,Final,1300,1100,200,0.189
Sub-County Place,Vandenberg AFB CDP,01-01-2012,2012,January,N,Final,800,800,0,0.054
Sub-County Place,Vandenberg Village CDP,01-01-2012,2012,January,N,Final,3200,2800,400,0.129
Sub-County Place,Vernon city,01-01-2012,2012,January,N,Final,100,100,0,0.062
Sub-County Place,Victorville city,01-01-2012,2012,January,N,Final,43200,37500,5700,0.132
Sub-County Place,View Park Windsor Hills CDP,01-01-2012,2012,January,N,Final,5600,5000,600,0.102
Sub-County Place,Villa Park city,01-01-2012,2012,January,N,Final,2900,2700,200,0.078
Sub-County Place,Vine Hill CDP,01-01-2012,2012,January,N,Final,2100,1700,400,0.183
Sub-County Place,Vineyard CDP,01-01-2012,2012,January,N,Final,12400,11400,1000,0.084
Sub-County Place,Visalia city,01-01-2012,2012,January,N,Final,60600,51500,9200,0.151
Sub-County Place,Vista city,01-01-2012,2012,January,N,Final,42400,38600,3800,0.09
Sub-County Place,Walnut city,01-01-2012,2012,January,N,Final,15200,13900,1300,0.086
Sub-County Place,Walnut Creek city,01-01-2012,2012,January,N,Final,31600,29400,2200,0.069
Sub-County Place,Walnut Grove CDP,01-01-2012,2012,January,N,Final,700,600,100,0.194
Sub-County Place,Walnut Park CDP,01-01-2012,2012,January,N,Final,7100,6100,1000,0.147
Sub-County Place,Wasco city,01-01-2012,2012,January,N,Final,8500,6800,1700,0.197
Sub-County Place,Waterford city,01-01-2012,2012,January,N,Final,4100,3300,800,0.198
Sub-County Place,Watsonville city,01-01-2012,2012,January,N,Final,25000,20300,4800,0.19
Sub-County Place,Weaverville CDP,01-01-2012,2012,January,N,Final,1530,1380,140,0.093
Sub-County Place,Weed city,01-01-2012,2012,January,N,Final,1430,1140,290,0.202
Sub-County Place,Weedpatch CDP,01-01-2012,2012,January,N,Final,1200,1000,300,0.233
Sub-County Place,Weldon CDP,01-01-2012,2012,January,N,Final,800,700,100,0.169
Sub-County Place,West Athens CDP,01-01-2012,2012,January,N,Final,4000,3500,500,0.116
Sub-County Place,West Bishop CDP,01-01-2012,2012,January,N,Final,1440,1350,90,0.063
Sub-County Place,West Carson CDP,01-01-2012,2012,January,N,Final,10800,9400,1400,0.128
Sub-County Place,West Covina city,01-01-2012,2012,January,N,Final,53400,45700,7600,0.143
Sub-County Place,West Hollywood city,01-01-2012,2012,January,N,Final,24300,21900,2400,0.099
Sub-County Place,Westlake Village city,01-01-2012,2012,January,N,Final,4100,3700,400,0.108
Sub-County Place,West Menlo Park CDP,01-01-2012,2012,January,N,Final,2000,1900,100,0.037
Sub-County Place,Westminster city,01-01-2012,2012,January,N,Final,42700,37800,5000,0.117
Sub-County Place,West Modesto CDP,01-01-2012,2012,January,N,Final,2400,1700,800,0.323
Sub-County Place,Westmont CDP,01-01-2012,2012,January,N,Final,13000,10800,2100,0.165
Sub-County Place,Westmorland city,01-01-2012,2012,January,N,Final,900,700,300,0.274
Sub-County Place,West Point CDP,01-01-2012,2012,January,N,Final,300,240,60,0.199
Sub-County Place,West Puente Valley CDP,01-01-2012,2012,January,N,Final,10500,9000,1600,0.149
Sub-County Place,West Sacramento city,01-01-2012,2012,January,N,Final,24500,21000,3500,0.143
Sub-County Place,West Whittier Los Nietos CDP,01-01-2012,2012,January,N,Final,12000,10400,1600,0.133
Sub-County Place,Westwood CDP,01-01-2012,2012,January,N,Final,660,460,200,0.306
Sub-County Place,Wheatland city,01-01-2012,2012,January,N,Final,1600,1300,300,0.19
Sub-County Place,Whitehawk CDP,01-01-2012,2012,January,N,Final,20,20,0,0
Sub-County Place,Whittier city,01-01-2012,2012,January,N,Final,41600,37700,3900,0.094
Sub-County Place,Wildomar city,01-01-2012,2012,January,N,Final,15400,13500,1900,0.126
Sub-County Place,Wilkerson CDP,01-01-2012,2012,January,N,Final,330,330,0,0
Sub-County Place,Williams city,01-01-2012,2012,January,N,Final,2950,1940,1010,0.344
Sub-County Place,Willits city,01-01-2012,2012,January,N,Final,2190,1980,200,0.093
Sub-County Place,Willowbrook CDP,01-01-2012,2012,January,N,Final,7700,6300,1500,0.191
Sub-County Place,Willow Creek CDP,01-01-2012,2012,January,N,Final,600,500,100,0.109
Sub-County Place,Willows city,01-01-2012,2012,January,N,Final,3020,2470,560,0.184
Sub-County Place,Wilton CDP,01-01-2012,2012,January,N,Final,1700,1500,200,0.094
Sub-County Place,Winchester CDP,01-01-2012,2012,January,N,Final,1300,1200,100,0.085
Sub-County Place,Windsor town,01-01-2012,2012,January,N,Final,13000,11900,1100,0.088
Sub-County Place,Winters city,01-01-2012,2012,January,N,Final,3700,3300,400,0.112
Sub-County Place,Winton CDP,01-01-2012,2012,January,N,Final,5000,3900,1100,0.226
Sub-County Place,Wofford Heights CDP,01-01-2012,2012,January,N,Final,600,500,100,0.129
Sub-County Place,Woodcrest CDP,01-01-2012,2012,January,N,Final,7700,7000,700,0.092
Sub-County Place,Woodlake city,01-01-2012,2012,January,N,Final,3400,2600,800,0.231
Sub-County Place,Woodland city,01-01-2012,2012,January,N,Final,28700,24900,3800,0.132
Sub-County Place,Woodville CDP,01-01-2012,2012,January,N,Final,1000,900,200,0.164
Sub-County Place,Wrightwood CDP,01-01-2012,2012,January,N,Final,2100,1900,200,0.077
Sub-County Place,Yorba Linda city,01-01-2012,2012,January,N,Final,33500,30900,2500,0.076
Sub-County Place,Yosemite Lakes CDP,01-01-2012,2012,January,N,Final,2100,1800,300,0.129
Sub-County Place,Yosemite Valley CDP,01-01-2012,2012,January,N,Final,620,620,0,0
Sub-County Place,Yountville town,01-01-2012,2012,January,N,Final,1200,1100,100,0.102
Sub-County Place,Yreka city,01-01-2012,2012,January,N,Final,2950,2170,780,0.266
Sub-County Place,Yuba City city,01-01-2012,2012,January,N,Final,31200,24800,6500,0.207
Sub-County Place,Yucaipa city,01-01-2012,2012,January,N,Final,23900,20900,3000,0.125
Sub-County Place,Yucca Valley town,01-01-2012,2012,January,N,Final,7900,6700,1200,0.153
State,California,01-01-2013,2013,January,N,Final,18542800,16623900,1918900,0.103
State,California,01-01-2013,2013,January,Y,Final,18564200,16769900,1794400,0.097
County,Alameda County,01-01-2013,2013,January,N,Final,799900,732700,67200,0.084
County,Alpine County,01-01-2013,2013,January,N,Final,640,590,60,0.09
County,Amador County,01-01-2013,2013,January,N,Final,14310,12530,1770,0.124
County,Butte County,01-01-2013,2013,January,N,Final,101900,89200,12700,0.125
County,Calaveras County,01-01-2013,2013,January,N,Final,19840,17370,2470,0.125
County,Colusa County,01-01-2013,2013,January,N,Final,11200,8020,3180,0.284
County,Contra Costa County,01-01-2013,2013,January,N,Final,536300,489600,46700,0.087
County,Del Norte County,01-01-2013,2013,January,N,Final,10460,8950,1510,0.144
County,El Dorado County,01-01-2013,2013,January,N,Final,89200,80200,9000,0.1
County,Fresno County,01-01-2013,2013,January,N,Final,437500,367500,70000,0.16
County,Glenn County,01-01-2013,2013,January,N,Final,13120,11180,1940,0.148
County,Humboldt County,01-01-2013,2013,January,N,Final,63400,57200,6200,0.098
County,Imperial County,01-01-2013,2013,January,N,Final,79400,59100,20300,0.256
